Year,quarter,ukos,mode,purpose,package,Age,Sex,duration,Expected spend,country,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent, 0-15,Male,4-13 nights,818.76,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,4-13 nights,703.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,1-3 nights,106.50,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,4-13 nights,741.60,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,1-3 nights,269.07,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,4-13 nights,600.33,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,Nil Stay,600.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,1-3 nights,137.06,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,4-13 nights,600.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Male,4-13 nights,825.89,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Female,1-3 nights,600.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Female,4-13 nights,952.70,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Male,1-3 nights,447.67,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Male,4-13 nights,1218.67,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Male,3-6 months,1250.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Female,1-3 nights,1138.69,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Female,4-13 nights,405.17,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Male,4-13 nights,923.12,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Male,28-90 nights,2250.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Female,1-3 nights,167.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Female,4-13 nights,966.62,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,65 & over,Male,4-13 nights,741.70,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,D/K,Male,4-13 nights,869.27,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent, 0-15,Male,4-13 nights,1369.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent, 0-15,Female,4-13 nights,1157.57,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Male,4-13 nights,2233.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,16-24,Female,4-13 nights,968.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Male,1-3 nights,533.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Male,4-13 nights,1201.96,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Female,4-13 nights,762.73,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,35-44,Male,1-3 nights,98.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,35-44,Male,4-13 nights,664.02,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,35-44,Female,4-13 nights,1032.39,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,45-54,Male,4-13 nights,2077.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,45-54,Female,4-13 nights,798.80,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Male,1-3 nights,60.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Male,4-13 nights,3554.95,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Male,14-27 nights,1097.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Female,1-3 nights,115.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,55-64,Female,4-13 nights,1064.66,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,65 & over,Male,4-13 nights,1628.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,65 & over,Female,4-13 nights,988.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,D/K,Male,4-13 nights,1252.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,D/K,Male,14-27 nights,1198.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,25-34,Male,1-3 nights,500.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,25-34,Female,1-3 nights,620.56,Austria,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,35-44,Male,1-3 nights,188.42,Austria,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,35-44,Male,4-13 nights,586.01,Austria,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,45-54,Male,1-3 nights,60.27,Austria,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,55-64,Male,1-3 nights,224.68,Austria,,,,
2018,Jan-Mar,UK residents,Air,Business,Non-Independent,25-34,Female,1-3 nights,477.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Business,Non-Independent,35-44,Male,4-13 nights,597.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Study,Independent,16-24,Male,28-90 nights,100.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Male,14-27 nights,500.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Female,1-3 nights,158.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Female,4-13 nights,261.23,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,25-34,Female,14-27 nights,133.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Female,4-13 nights,340.46,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Male,4-13 nights,250.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Female,4-13 nights,204.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,55-64,Male,4-13 nights,705.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Female,1-3 nights,506.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Female,4-13 nights,392.10,Austria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Female,14-27 nights,250.00,Austria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,4-13 nights,441.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,1-3 nights,323.28,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,1-3 nights,150.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,4-13 nights,405.71,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,1-3 nights,206.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,4-13 nights,415.58,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Male,1-3 nights,353.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Non-Independent,25-34,Male,4-13 nights,535.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,16-24,Female,1-3 nights,110.00,Belgium,,,,
2018,Jan-Mar,UK residents,Air,Business,Independent,25-34,Male,Nil Stay,78.00,Belgium,,,,
